,Tweets,Sentiments
0,"RT @ajamubaraka: The U.S. &amp; NATO under Obama as Black face for white power, attacked &amp; destroy Libya -  at the time the most prosperous Afr…",Positive
1,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
2,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
3,"RT @Amy_Siskind: Obama going hard at Trump without naming him in his Glasgow speech, noting the vacuum of US leadership on the world stage…",Negative
4,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Positive
5,The Obama Lesson Democrats Try to Forget https://t.co/WJ1CLqaIbT via @WSJOpinion,Negative
6,Why is Obama anywhere on the political scene directing business? He isn't anti energy or concerned about emissions.… https://t.co/hMQKpGZnMy,Positive
7,"Our government is set up to protect the interests of the wealthy. It’s why nothing substantial changed under Obama,… https://t.co/MShAPcVtak",Positive
8,"@ltgrusselhonore @CNN @POTUS It’s all the same, if not a CNN reporter, host dissing the President, Democrats, they… https://t.co/1Fif5RRYi7",Negative
9,RT @ryancapperauld: Obama blaming the rise of nationalism across the world for less global cooperation on the environment at a speech in Sc…,Positive
10,RT @NewsHour: Obama noted efforts by the U.S. — the world’s second-worst climate polluter now after China — stalled when Trump pulled out o…,Negative
11,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
12,"RT @Amy_Siskind: Obama going hard at Trump without naming him in his Glasgow speech, noting the vacuum of US leadership on the world stage…",Positive
13,"RT @FoxNews: .@TomFitton: ""I think the FBI's been compromised. Forget about shutting down Mr. Mueller. Do we need to shut down the @FBI bec…",Negative
14,"RT @AdamBandt: Last night at COP26 Barack Obama said “vote like your life depends on it, because it does.”

Today, Scott Morrison’s approva…",Positive
15,"This is cool, who’s playing Obama though ? https://t.co/FjUSbRaLOh",Positive
16,"@Ghoulsli @CourtneyBanks 1""Regarding his own story, Obama has promoted falsehoods at every step.""
The OSS psycholog… https://t.co/Rx1d1d2qX4",Negative
17,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Negative
18,"RT @FoxNews: .@TomFitton: ""I think the FBI's been compromised. Forget about shutting down Mr. Mueller. Do we need to shut down the @FBI bec…",Negative
